"Symbol","Company_Name","Country","IPO_Year","Sector","Last_Sale"
"HEI","Heico Corporation Common Stock","United States","2000","Industrials","143.05"
"HIMX","Himax Technologies Inc. American Depositary Shares","Taiwan","2006","Technology","9.52"
"HLF","Herbalife Nutrition Ltd. Common Stock","Cayman Islands","2004","Health Care","21.79"
"HLG","Hailiang Education Group Inc. American Depositary Shares","China","2015","Real Estate","13.58"
"HLI","Houlihan Lokey Inc. Class A Common Stock","United States","2015","Finance","85.94"
"HMLP","Hoegh LNG Partners LP Common Units representing Limited Partner Interests","Bermuda","2014","Consumer Discretionary","9.08"
"HNP","Huaneng Power Intl Common Stock","China","1994","Utilities","19.99"
"HSIC","Henry Schein Inc. Common Stock","United States","1995","Health Care","85.64"
"HSKA","Heska Corporation Common Stock","United States","1997","Health Care","99.79"
"HTCR","Heartcore Enterprises Inc. Common Stock","Japan","2022","Technology","1.22"
"HTHT","Huazhu Group Limited American Depositary Shares","China","2010","Consumer Discretionary","32.5"
"HUBB","Hubbell Inc Common Stock","United States","2015","Technology","189.86"
"HUBS","HubSpot Inc. Common Stock","United States","2014","Technology","337.69"
"HUDI","Huadi International Group Co. Ltd. Ordinary Shares","China","2021","Industrials","25.59"
"HUIZ","Huize Holding Limited American Depositary Shares","China","2020","Finance","0.98"
"HUSN","Hudson Capital Inc. Ordinary Shares","China","2017","Consumer Discretionary","1.58"
"HYW","Hywin Holdings Ltd. American Depositary Shares","China","2021","Finance","6.72"
"HZNP","Horizon Therapeutics Public Limited Company Ordinary Shares","Ireland","2011","Health Care","89.69"
"IBA","Industrias Bachoco S.A.B. de C.V. Common Stock","Mexico","1997","Consumer Staples","46.86"
"IBEX","IBEX Limited Common Shares","Bermuda","2020","Technology","17.9"
"ICE","Intercontinental Exchange Inc. Common Stock","United States","2005","Finance","102.39"
"ICFI","ICF International Inc. Common Stock","United States","2006","Consumer Discretionary","102.21"
"ICL","ICL Group Ltd. Ordinary Shares","Israel","2014","Industrials","10.98"
"ICLK","iClick Interactive Asia Group Limited American Depositary Shares","Hong Kong","2017","Technology","0.56"
"ICLR","ICON plc Ordinary Shares","Ireland","1998","Health Care","223.79"
"ICUI","ICU Medical Inc. Common Stock","United States","1992","Health Care","181.64"
"IDXX","IDEXX Laboratories Inc. Common Stock","United States","1991","Health Care","391.62"
"IEX","IDEX Corporation Common Stock","United States","1989","Industrials","191.55"
"IFRX","InflaRx N.V. Common Stock","Germany","2017","Health Care","1.59"
"IGIC","International General Insurance Holdings Ltd. Ordinary Share","Jordan","2018","Finance","7.58"
"IINN","Inspira Technologies Oxy B.H.N. Ltd. Ordinary Shares","Israel","2021","Health Care","1.58"
"IINNW","Inspira Technologies Oxy B.H.N. Ltd. Warrant","Israel","2021","Health Care","0.31"
"IIPR","Innovative Industrial Properties Inc. Common Stock","United States","2016","Real Estate","133.05"
"ILMN","Illumina Inc. Common Stock","United States","2000","Health Care","239.48"
"IMAB","I-MAB American Depositary Shares","China","2020","Health Care","8.7"
"IMCR","Immunocore Holdings plc American Depositary Shares","United Kingdom","2021","Health Care","28.35"
"IMKTA","Ingles Markets Incorporated Class A Common Stock","United States","1987","Consumer Staples","89.06"
"IMRN","Immuron Limited American Depositary Shares","Australia","2017","Health Care","2.84"
"IMRNW","Immuron Limited Warrants","Australia","2017","Health Care","0.15"
"ING","ING Group N.V. Common Stock","Netherlands","1997","Finance","11.32"
"INMD","InMode Ltd. Ordinary Shares","Israel","2019","Health Care","26.81"
"INSP","Inspire Medical Systems Inc. Common Stock","United States","1998","Health Care","176.83"
"INTU","Intuit Inc. Common Stock","United States","1993","Technology","414.46"
"IOBT","IO Biotech Inc. Common Stock","Denmark","2021","Health Care","4.83"
"IPGP","IPG Photonics Corporation Common Stock","United States","2006","Technology","105.49"
"IPHA","Innate Pharma S.A. ADS","France","2019","Health Care","2.66"
"IQ","iQIYI Inc. American Depositary Shares","China","2018","Technology","4.1"
"IQV","IQVIA Holdings Inc. Common Stock","United States","2013","Health Care","215.25"
"IRTC","iRhythm Technologies Inc. Common Stock","United States","2016","Health Care","140.85"
"ISRG","Intuitive Surgical Inc. Common Stock","United States","2000","Health Care","227.64"
"IT","Gartner Inc. Common Stock","United States","1993","Finance","262.4"
"ITRM","Iterum Therapeutics plc Ordinary Share","Ireland","2018","Health Care","0.23"
"ITRN","Ituran Location and Control Ltd. Ordinary Shares","Israel","2005","Technology","25.06"
"IVA","Inventiva S.A. American Depository Shares","France","2020","Consumer Discretionary","9.02"
"JAZZ","Jazz Pharmaceuticals plc Common Stock (Ireland)","Ireland","2007","Health Care","149.68"
"JD","JD.com Inc. American Depositary Shares","China","2014","Consumer Discretionary","56.12"
"JFIN","Jiayin Group Inc. American Depositary Shares","China","2019","Finance","1.77"
"JFU","9F Inc. American Depositary Shares","China","2019","Finance","0.84"
"JG","Aurora Mobile Limited American Depositary Shares","China","2018","Technology","1.07"
"JJSF","J & J Snack Foods Corp. Common Stock","United States","1986","Consumer Staples","128.22"
"JKHY","Jack Henry & Associates Inc. Common Stock","United States","1985","Technology","188.12"
"JKS","JinkoSolar Holding Company Limited American Depositary Shares (each representing 4 Common Shares)","China","2010","Technology","61.27"
"JMAC","Maxpro Capital Acquisition Corp. Class A Common Stock","Taiwan","2021","Industrials","10.05"
"JMACU","Maxpro Capital Acquisition Corp. Units","Taiwan","2021","Industrials","10.13"
"JMACW","Maxpro Capital Acquisition Corp. Warrants","Taiwan","2021","Industrials","0.14"
"JRVR","James River Group Holdings Ltd. Common Shares","Bermuda","2014","Finance","25.55"
"JWEL","Jowell Global Ltd. Ordinary Shares","China","2021","Consumer Discretionary","2.42"
"JZXN","Jiuzi Holdings Inc. Ordinary Shares","China","2021","Consumer Discretionary","1.04"
"KAI","Kadant Inc Common Stock","United States","1992","Technology","185.1"
"KALV","KalVista Pharmaceuticals Inc. Common Stock","United Kingdom","2015","Health Care","8.89"
"KARO","Karooooo Ltd. Ordinary Shares","Singapore","2021","Technology","25.2"
"KC","Kingsoft Cloud Holdings Limited American Depositary Shares","China","2020","Technology","4.82"
